filepath,xmin,xmax,ymin,ymax
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\84969111-2ec3-4914-b3bb-da5aaac701e7___1.jpg.xml,47,106,229,250
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\85bd88a0-ac9a-412e-ba44-2a29d209e212___4336_1466054535_9.jpg.xml,165,285,189,228
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\85d7e25d-5aa1-4e5f-9c4e-4e671f14ddbe___77cca4b6f3864b3928824a030ba101d2.jpg.xml,177,312,521,552
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\8625b831-13a1-4b7d-9466-826cd6d36c67___1304650d1414861991-number-plates-merchandise-canvas-ink-gurgaon-edit-closed-10471269_1537317779842156_5063668061078329632_n.jpg.xml,285,498,352,398
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\868b996f-1f40-47ca-8222-b0f2750d7010___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-left-side-view.xml,84,132,130,148
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\88294212-f11c-46a7-a91a-04c9da19efa6___DSC_8221-L.jpg.xml,232,316,194,234
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\8906af57-0d29-417d-ac46-408425527b57___VW-Vento-TDI-CNG-Spy-Pic-2.jpg.xml,246,373,239,296
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\89d26be7-258a-4470-b0fe-d1df57b20d55___new_Skoda-Octavia-5.jpg.xml,185,249,209,230
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\8b5431f9-7d6f-43ed-853d-350ca058ff2a___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_2014-Nissan-Terrano1.xml,606,793,392,469
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\8b9e7112-9149-48fb-b8e8-c3e89cce5af0___1074650_10201043987997310_227646612_o.jpg.xml,231,431,252,308
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\8c4371ee-a997-4b21-82c4-cb5e767c4d06___kia-sorento-spied-in-India.jpg.xml,231,359,188,215
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\8da5183c-275f-4294-a5a8-276e10ac5ad0___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-amt_827x510_81478504265.xml,352,551,292,447
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\8dbb3ea7-8512-49e4-9ede-d4647e3b7dd2___158712081_5_1000x700_toyota-innova-v-2010-7seat-life-tax-kerala_rev001.jpg.xml,463,558,289,345
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\8e0b8c6f-850f-4918-983a-7fa110368d32___banner_4.xml,328,578,202,252
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\8edca6de-d964-4027-823d-f70d3f872412___12042943_1003224833031653_9073848483429898813_n.jpg.xml,208,407,156,207
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\931dfd5a-3d1f-4a08-9234-0453545e27ea___1297127d1412798792-maruti-ciaz-official-review-imag0627.jpg.xml,155,354,117,178
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\936623d4-b47c-4da7-ab2e-6ac3cc63f861___new_216279d1481352986-silver-venom-mahindra-scorpio-s4-2016-ownership-review-wp_20161122_11_19_00_pro.jpg.xml,179,375,117,184
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\93b6319a-5886-48d8-8a69-07d586751553___2014-VW-Polo-facelift-first-drive-rear-number-plate.jpg.xml,363,1045,291,556
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\93b6ca4e-17cc-4b12-b7f5-66fb37c6107c___number-plate-factory-fitted1.jpg.xml,218,428,144,194
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\94c5a151-24b5-493c-a900-017a4353b00c___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Tata-Tiago-Front-Number-Plates-Design.xml,260,696,234,338
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\967ba4a0-eb8e-4734-aa09-c7143d0404b6___39720161008_150234.jpg.xml,161,317,208,250
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\97846647-16f1-4ee2-b260-60774a21cc74___new_Maruti-Suzuki-Swift-Dzire-1.jpg.xml,109,253,145,183
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\9cad4b47-6c7b-4e30-ab55-b7fa040beb56___135717d1400912281-skoda-rapid-1-6tdi-cr-mt-elegance-ultima-candy-white-white-monster-_mg_2993comp.jpg.xml,66,175,231,260
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\9cd75347-8952-40b1-97c5-d628f1b59590___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Maruti-Swift-Number-Plates-Design.xml,329,856,219,410
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\9ea92991-8fdf-4b46-aea1-bf08ecff247c___new_1107433d1373284570-my-modded-skoda-rapid-now-166-bhp-351-nm-119-whp-per-tonne-hdr_00005_normal.jpg.xml,65,245,230,275
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\9f7c7dce-f9c9-4c95-a053-8f16e6e99466___new_new-maruti-alto-k10-2_625x300_41414071192.jpg.xml,143,315,164,203
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\a1928183-9ebe-40f0-9a84-500aecc61474___2014-Skoda-Superb-facelift-spied-in-India.jpg.xml,419,517,169,214
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\a285cdf6-4640-41ee-b3f3-b721f334466f___Skoda-Octavia-RS-launched-in-India-3.jpg.xml,176,348,255,291
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\a2d49f53-4121-4627-b5d9-069f8b2f8490___840256171_1_1080x720_maruti-suzuki-wagon-r-vxi-with-abs-minor-2014-petrol-erode.jpg.xml,109,241,226,259
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\a2f87691-b9f5-4274-ac5a-8764e9ba282c___1571669d1477648169-your-favourite-number-plate-font-13.jpg.xml,241,1398,209,704
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\a34aeb21-ffe8-4357-80d3-8f212c62c816___new_main_cropped.jpg.xml,202,347,110,142
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\a508ecb5-bfdd-46ba-8640-bb827b7c089c___Volkswagen-Polo.jpg.xml,565,674,207,238
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\a615016b-4d07-46c7-a52b-8d4319fe3a10___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-rear-view.xml,301,406,362,390
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\a9268f51-fbb4-42c2-b88c-f5ef9f8ead42___2266_7T4G0510.JPG.xml,150,344,251,303
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\a95a0d9d-5d40-4abb-bd3e-6c6d94bef5b1___IMG_3310.jpg.xml,138,304,133,182
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\a970d6e0-5948-4412-a1ec-67c5240722a8___images-gallery-misc4-250x250.jpg.xml,14,197,28,129
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\aa221c22-6600-4f05-9eb9-3676ef0b22e0___69590d1226627898-high-security-number-plates-india-d1.jpg.xml,164,900,255,434
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\ab573806-1da7-4ccf-93c8-6082e0cc15c3___1107433d1373284570-my-modded-skoda-rapid-now-166-bhp-351-nm-119-whp-per-tonne-hdr_00005_normal.jpg.xml,636,891,513,578
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\acd85f93-544d-494e-b2f3-2d445937bb0b___new_1431956d1446017445-number-plates-merchandise-canvas-ink-gurgaon-edit-closed-thumb_img_4418_1024.jpg.xml,134,388,128,195
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\ad1f5cbc-7545-407e-8974-a03ddb7b7779___833542696_1_1080x720_mahindra-scorpio-vlx-4wd-airbag-bs-iv-2012-diesel-.jpg.xml,411,602,420,469
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\ae0bb069-0e7e-412a-9473-e8e0d4041cbc___135718d1400912281-skoda-rapid-1-6tdi-cr-mt-elegance-ultima-candy-white-white-monster-_mg_3000comp.jpg.xml,341,423,197,222
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\aea95aa0-a000-4103-945d-c173383bd646___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-11.xml,483,691,195,330
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\af058398-67d6-4d0e-a6d9-afc1cb184e5b___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_hqdefault3.xml,146,239,209,245
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\af270103-6ed4-4260-9d01-b8be2e2b9af1___skoda-rapid-1.5-tdi-dsg-review.jpg.xml,106,249,154,198
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\af36405d-be93-4c8c-b1b2-5a0832535eeb___main-qimg-4caf07f4dfd9e2a2d279ddd54fb91986-c.jpg.xml,121,243,162,201
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\af608b5e-07d6-4bcf-84d0-f0cba9e54e12___Skoda-Superb-Rear-Profile.jpg.xml,238,349,187,213
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\aff1f53b-3259-44f0-9718-05fb64dc8ba1___Untitled.xml,84,182,140,162
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AN1.xml,94,185,364,385
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AN10.xml,109,165,168,181
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AN2.xml,121,179,224,237
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AN4.xml,82,141,229,245
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AN5.xml,150,205,244,256
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AN6.xml,121,184,229,246
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AN7.xml,89,192,366,391
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP1.xml,101,179,145,162
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP10.xml,111,188,267,284
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP12.xml,77,132,226,248
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP13.xml,96,169,191,210
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP14.xml,103,191,176,206
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP15.xml,93,203,240,260
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP16.xml,104,154,127,138
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP17.xml,106,180,340,355
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP18.xml,105,163,114,129
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP19.xml,98,158,341,357
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP2.xml,95,141,48,59
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP20.xml,100,165,261,275
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP21.xml,120,229,99,129
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP22.xml,74,172,229,248
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP23.xml,78,136,223,234
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP24.xml,90,183,265,285
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP25.xml,90,173,250,267
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP26.xml,96,179,45,63
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP27.xml,98,174,197,216
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP29.xml,105,183,1,16
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP3.xml,175,249,273,320
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP30.xml,90,173,276,292
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP33.xml,98,182,231,251
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP34.xml,98,183,7,22
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP39.xml,94,167,157,172
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP4.xml,111,171,138,150
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP40.xml,76,169,233,253
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP41.xml,79,190,265,290
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP42.xml,115,184,94,110
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP43.xml,110,198,322,344
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP44.xml,95,159,251,270
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP45.xml,98,182,231,263
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP46.xml,74,180,262,287
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP5.xml,93,155,163,179
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP6.xml,98,176,221,239
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP7.xml,79,158,223,240
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\AP8.xml,100,172,220,237
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\b117ba53-d563-49c2-806b-343666616815___new_Maruti-Suzuki-recalls-75419-Baleno-cars-1961-DZire-cars-only-AGS-variant-Motown-India-Bureau-2-810.jpg.xml,119,216,116,145
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\b176b317-68a9-4c38-ac39-55e5244c9b9c___60653.jpg.xml,456,785,105,234
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\b266759c-f9e9-47c1-9042-4c7aef7d441d___1711769d1514801394t-toyota-innova-crysta-2-4-gx-ownership-review-edit-10-000-km-service-done-vs.jpg.xml,125,185,122,156
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\b3e82163-400b-4211-bb99-a5b53fb13a25___new_IMG_8883.jpg.xml,43,180,52,85
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\b4eb91cd-3e77-40c2-bbe6-13d42f2ea4ba___INNOVA_Euro_Number_Plates.jpg.xml,162,339,151,193
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\b5b41a4b-8913-4af6-9419-ac6398d266b0___161893107_2_1000x700_innava-with-fancy-number-upload-photos.jpg.xml,127,261,247,293
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\b78259be-7ef5-4499-b9a2-2b8a37660e8b___Maruti-Suzuki-Celerio-Front-Number-Plates-Design.jpg.xml,325,691,288,371
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\b78553c7-977e-49a2-b3d2-42825d83c8b0___1557297d1474517501-toyota-innova-crysta-official-review-20160920_191445.jpg.xml,56,220,199,276
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\b79f870d-15c7-48e3-8874-7c0e53e29f75___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_754eab882b8290b29a0454dd45580a39_555X416_1 - Copy (2).xml,72,127,127,149
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\b79f870d-15c7-48e3-8874-7c0e53e29f75___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_754eab882b8290b29a0454dd45580a39_555X416_1 - Copy (3).xml,237,288,109,126
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\b79f870d-15c7-48e3-8874-7c0e53e29f75___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_754eab882b8290b29a0454dd45580a39_555X416_1 - Copy.xml,54,123,135,157
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\b79f870d-15c7-48e3-8874-7c0e53e29f75___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_754eab882b8290b29a0454dd45580a39_555X416_1.xml,115,178,123,145
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\b7fd8aaa-8621-449f-b99c-f45778f1a25c___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_1208485d1392541449-nissan-terrano-official-review-img_20140215_181507.xml,239,416,799,893
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\b9467810-4022-4cf5-87e7-fed0d63c8e2f___new_1658240d1500548920-close-look-2017-skoda-octavia-facelift-hands-free-parking-front-bumper.jpg.xml,163,334,130,175
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\ba457a81-cf10-4879-8e8f-3a0a8d10689a___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_hqdefault.xml,181,281,202,223
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\bb210ab4-795c-4b2b-9b6e-4597cbc67375___White-2BPlate.xml,164,274,223,247
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\bb767d81-73b4-4c47-b619-7efde490b199___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_oem-name0 - Copy.xml,60,104,206,217
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\bb767d81-73b4-4c47-b619-7efde490b199___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_oem-name0.xml,254,375,255,288
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\bbf22d00-3dd6-4338-b701-264e0c0c0aff___Maruti-Swift-DZire-Photos-1.jpg.xml,191,388,230,276
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\bcdc8b42-5dd4-48e2-8104-706440524bfe___hqdefault0.jpg.xml,1,465,63,182
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\bd742e42-bacc-430e-b9aa-9df666f5d9b3___kicker-647_010517112446.jpg.xml,202,295,214,241
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\bdad5f66-70ad-4241-9a62-bba1123c3486___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_1447945d1449508546t-my-nissan-terrano-85-ps-_img_000000_000000.xml,403,458,276,302
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\be483d11-33f0-4c1f-87b6-9844eea28996___1093346d1370435964-take-look-number-plate-photo.jpg.xml,268,389,260,302
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\bff789cd-2d58-4399-a55e-33be55f313e3___IMG_0472.jpg.xml,272,482,331,384
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\c02b3989-8334-4cf7-b69c-bcd177e209d4___mqdefault.jpg.xml,96,226,19,53
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\c03a7106-1fb9-471f-bbb0-2e8f4a29759a___38e7b1109eb976088e1df2f14ac4c08c.jpg - Copy.xml,85,191,257,285
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\c03a7106-1fb9-471f-bbb0-2e8f4a29759a___38e7b1109eb976088e1df2f14ac4c08c.jpg.xml,38,73,135,153
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\c06d4d42-591f-429e-92b4-20e701f89c14___2014-VW-Polo-facelift-spied-India-rear.jpg.xml,449,648,717,763
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\c1d91c5e-128b-41d4-9f9d-ebfbef98b597___High_security_n15816.jpg.xml,18,436,141,289
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\c2feb2b7-fbb3-4e1e-ad48-cc8112a1ab3f___Maruti_R3_On_Test.jpg.xml,162,313,213,261
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\c30a1535-9d8f-465e-a7f4-aa726f19f0b1___new-maruti-alto-k10-2_625x300_41414071192.jpg.xml,248,419,376,414
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\c41652d9-19ae-4a7d-8423-230340ac30bc___Skoda_Laura_DSG_Long_Term_Review-125.jpg.xml,393,595,452,500
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\c48f8704-bc40-462a-a595-445b2f2e63fe___new_77cca4b6f3864b3928824a030ba101d2.jpg.xml,51,185,200,231
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\c795950c-766a-4a2e-9636-62d663d6f06b___62bf1edb36141f114521ec4bb4175579.jpg.xml,828,877,294,337
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\c8a79e91-8c48-42d0-9b80-137fd033493c___automakers-number-plates-nitin-gadkari_827x510_61522653557.jpg.xml,65,158,162,198
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\ca18d733-ec53-49d9-87aa-a9f6c52cc7bb___VW-Polo-GT-TSI-badge-on-the-grille.jpg.xml,108,392,226,291
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-AP02BP2454_00000.xml,231,358,189,220
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-CH01AN0001_00000.xml,283,425,240,281
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-DL10CG4693_00000.xml,147,370,100,152
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-DL12C3536_00000.xml,1051,2249,934,1307
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-DL3CAY2231_00000.xml,292,446,219,253
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-DL3CAY9324_00000.xml,300,486,261,304
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-DL6CM6683_00000.xml,92,228,328,397
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-DL6CM6683_00001.xml,302,406,363,389
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-DL7CN5617_00000.xml,146,260,181,207
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-DL8CX4850_00000.xml,121,263,198,233
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-GJ03JL0126_00000.xml,154,246,142,165
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-GJ05JH2501_00000.xml,134,263,237,271
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-GJ05JH2501_00001.xml,126,244,297,330
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-GJW115A1138_00000.xml,156,338,195,246
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR11F7575_00000.xml,186,348,344,385
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26AZ5927_00000.xml,172,252,193,212
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26BA8008_00000.xml,14,198,33,131
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26BC5514_00000.xml,165,239,202,220
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26BC5514_00001.xml,159,237,221,239
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26BP3543_00000.xml,109,252,145,181
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26BP3543_00001.xml,190,333,265,302
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26BR9044_00000.xml,88,165,110,134
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26BU0380_00000.xml,97,160,186,203
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26CB1900_00000.xml,166,220,222,236
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26CE1485_00000.xml,231,345,280,307
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26CH3604_00000.xml,199,352,135,176
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26CK8571_00000.xml,384,487,215,246
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26CM6005_00000.xml,192,387,226,274
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26CR3302_00000.xml,120,216,115,146
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26CT4063_00000.xml,133,300,305,353
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26CT6702_00000.xml,248,420,378,417
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26CT6702_00001.xml,144,314,165,203
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26CU6799_00000.xml,233,308,155,179
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26DA0471_00000.xml,157,313,228,276
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26DA2330_00000.xml,25,144,207,247
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26DG6167_00000.xml,218,426,146,192
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR26U7501_00000.xml,352,572,182,307
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR51AY9099_00000.xml,192,393,513,551
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR696969_00000.xml,231,430,254,305
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR99BJ6662_00000.xml,260,730,203,346
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HR99EX6037_00000.xml,149,343,252,302
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-HRDK0830_00000.xml,342,492,241,290
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KA01CA2555_00000.xml,230,417,121,178
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KA031351_00000.xml,219,344,316,351
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KA03MG2784_00000.xml,130,464,169,237
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KA03NA8385_00000.xml,86,183,141,163
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KA04MN3622_00000.xml,197,370,375,413
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KA05MG1909_00000.xml,95,295,101,190
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KA18P2987_00000.xml,1306,1801,1705,1868
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KA29Z999_00000.xml,148,338,222,265
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KA51MJ8156_00000.xml,115,254,285,320
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL01AX8000_00000.xml,144,302,159,202
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL01CA2555_00000.xml,231,418,122,179
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL01CC50_00000.xml,231,434,81,155
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL01KL0KL01_00000.xml,57,220,201,276
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL04AL4405_00000.xml,144,340,168,210
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL05AK3300_00000.xml,337,453,314,347
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL07CB8599_00000.xml,213,332,139,167
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL10AV6342_00000.xml,142,336,253,304
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL10AV6342_00001.xml,118,643,216,413
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL10AV6633_00000.xml,311,670,429,533
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL10AW2111_00000.xml,186,336,189,228
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL10AW2814_00000.xml,304,673,263,347
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL10AW2814_00001.xml,108,421,186,262
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL12G7531_00000.xml,663,887,239,300
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL16J3636_00000.xml,160,324,67,108
